"Name"	"TissueType"	"OncoTree1"	"OncoTree2"	"OncoTree3"	"OncoTree4"	"ccl_name"	"master_ccl_id"	"ccle_primary_site"	"ccle_primary_hist"	"ccle_hist_subtype_1"	"growth_mode"	"culture_media"	"media_composition"	"snp_fp_status"	"NAPY"	"TNBC"
"SNU-761"	"liver: hepatocellular_carcinoma"	"Liver"	"Hepatocellular Carcinoma (HCC)"	NA	NA	"SNU761"	"1122"	"liver"	"carcinoma"	"hepatocellular_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"SNU-878"	"liver: hepatocellular_carcinoma"	"Liver"	"Hepatocellular Carcinoma (HCC)"	NA	NA	"SNU878"	"1127"	"liver"	"carcinoma"	"hepatocellular_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"SNU-886"	"liver: hepatocellular_carcinoma"	"Liver"	"Hepatocellular Carcinoma (HCC)"	NA	NA	"SNU886"	"1128"	"liver"	"carcinoma"	"hepatocellular_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"A549"	"lung: non_small_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"A549"	"35"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"BEN"	"lung: carcinoma"	"Lung"	NA	NA	NA	"BEN"	"60"	"lung"	"carcinoma"	NA	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"CAL-12T"	"lung: non_small_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"CAL12T"	"112"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"Calu-1"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"CALU1"	"122"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"adherent"	"MCCOYS5A001"	"\"McCoy's 5A, 10% FBS\""	"SNP-matched-reference"	NA	NA
"Calu-3"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"CALU3"	"123"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"EMEM001"	"\"EMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"Calu-6"	"lung: undifferentiated_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"CALU6"	"124"	"lung"	"carcinoma"	"undifferentiated_carcinoma"	"adherent"	"MEM001"	"\"MEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"ChaGo-K-1"	"lung: carcinoma"	"Lung"	NA	NA	NA	"CHAGOK1"	"141"	"lung"	"carcinoma"	NA	"adherent"	"RPMI007"	"\"RPMI, 10% FBS, 2 mM glutamine\""	"SNP-matched-reference"	NA	NA
"COLO 668"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"COLO668"	"158"	"lung"	"carcinoma"	"small_cell_carcinoma"	"adherent"	"RPMI007"	"\"RPMI, 10% FBS, 2 mM glutamine\""	"SNP-matched-reference"	"ASCL1"	NA
"COR-L105"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"CORL105"	"174"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI007"	"\"RPMI, 10% FBS, 2 mM glutamine\""	"SNP-matched-reference"	NA	NA
"COR-L279"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"CORL279"	"178"	"lung"	"carcinoma"	"small_cell_carcinoma"	"suspension"	"RPMI007"	"\"RPMI, 10% FBS, 2 mM glutamine\""	"SNP-matched-reference"	"NEUROD1"	NA
"COR-L47"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"CORL47"	"180"	"lung"	"carcinoma"	"small_cell_carcinoma"	"suspension"	"RPMI007"	"\"RPMI, 10% FBS, 2 mM glutamine\""	"SNP-matched-reference"	"ASCL1"	NA
"COR-L51"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"CORL51"	"181"	"lung"	"carcinoma"	"small_cell_carcinoma"	"suspension"	"RPMI007"	"\"RPMI, 10% FBS, 2 mM glutamine\""	"SNP-matched-reference"	"ASCL1"	NA
"COR-L88"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"CORL88"	"182"	"lung"	"carcinoma"	"small_cell_carcinoma"	"suspension"	"RPMI007"	"\"RPMI, 10% FBS, 2 mM glutamine\""	"SNP-matched-reference"	"ASCL1"	NA
"COR-L95"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"CORL95"	"183"	"lung"	"carcinoma"	"small_cell_carcinoma"	"adherent"	"RPMI007"	"\"RPMI, 10% FBS, 2 mM glutamine\""	"SNP-matched-reference"	"ASCL1"	NA
"DMS 114"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"DMS114"	"215"	"lung"	"carcinoma"	"small_cell_carcinoma"	"adherent"	"WAYMOUTH002"	"\"Waymouth's MB 752/1, 10% FBS\""	"SNP-matched-reference"	"YAP1"	NA
"DMS 273"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"DMS273"	"217"	"lung"	"carcinoma"	"small_cell_carcinoma"	"adherent"	"WAYMOUTH001"	"\"Waymouth's MB 752/1, 10% heat-inactivated FBS, 2 mM L-glutamine\""	"SNP-matched-reference"	"NEUROD1"	NA
"DMS 454"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"DMS454"	"218"	"lung"	"carcinoma"	"small_cell_carcinoma"	"adherent"	"WAYMOUTH002"	"\"Waymouth's MB 752/1, 10% FBS\""	"SNP-not-tested"	"ASCL1"	NA
"DMS 53"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"DMS53"	"219"	"lung"	"carcinoma"	"small_cell_carcinoma"	"adherent"	"WAYMOUTH002"	"\"Waymouth's MB 752/1, 10% FBS\""	"SNP-matched-reference"	"NEUROD1"	NA
"DMS 79"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"DMS79"	"220"	"lung"	"carcinoma"	"small_cell_carcinoma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	"ASCL1"	NA
"DV-90"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"DV90"	"227"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-unconfirmed"	NA	NA
"EBC-1"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"EBC1"	"230"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"adherent"	"MEM001"	"\"MEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"EPLC-272H"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"EPLC272H"	"246"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"adherent"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"HARA"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"HARA"	"293"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC-1171"	"lung: non_small_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"HCC1171"	"296"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC-1195"	"lung: mixed_adenosquamous_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"HCC1195"	"298"	"lung"	"carcinoma"	"mixed_adenosquamous_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-unconfirmed"	NA	NA
"HCC-1438"	"lung: large_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"HCC1438"	"303"	"lung"	"carcinoma"	"large_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-unconfirmed"	NA	NA
"HCC-15"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"HCC15"	"304"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC-1588"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"HCC1588"	"307"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC-1833"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"HCC1833"	"310"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-unconfirmed"	NA	NA
"HCC-2108"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"HCC2108"	"316"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-unconfirmed"	NA	NA
"HCC-2279"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"HCC2279"	"319"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC2935"	"lung: non_small_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"HCC2935"	"324"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC-33"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"HCC33"	"326"	"lung"	"carcinoma"	"small_cell_carcinoma"	"adherent"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	"NEUROD1"	NA
"HCC-366"	"lung: mixed_adenosquamous_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"HCC366"	"328"	"lung"	"carcinoma"	"mixed_adenosquamous_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-not-tested"	NA	NA
"HCC4006"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"HCC4006"	"331"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC-44"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"HCC44"	"332"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC-78"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"HCC78"	"339"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC827"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"HCC827"	"340"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC-95"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"HCC95"	"342"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"IA-LM"	"lung: large_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"IALM"	"469"	"lung"	"carcinoma"	"large_cell_carcinoma"	"adherent"	"HAMSF10001"	"\"HamsF10, 10% FBS\""	"SNP-not-tested"	NA	NA
"KNS-62"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"KNS62"	"558"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"adherent"	"EMEM005"	"\"EMEM, 20% FBS\""	"SNP-matched-reference"	NA	NA
"LC-1F"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"LC1F"	"597"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"LC-1/sq-SF"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"LC1SQSF"	"598"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"LCLC-103H"	"lung: large_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"LCLC103H"	"599"	"lung"	"carcinoma"	"large_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"LCLC-97TM1"	"lung: large_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"LCLC97TM1"	"600"	"lung"	"carcinoma"	"large_cell_carcinoma"	"adherent"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-not-tested"	NA	NA
"LK-2"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"LK2"	"602"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"LOU-NH91"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"LOUNH91"	"621"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-not-tested"	NA	NA
"LU65"	"lung: non_small_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"LU65"	"633"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"mixed"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"LU99"	"lung: large_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"LU99"	"634"	"lung"	"carcinoma"	"large_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"LUDLU-1"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"LUDLU1"	"635"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"LXF-289"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"LXF289"	"636"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"HAMSF10001"	"\"HamsF10, 10% FBS\""	"SNP-matched-reference"	NA	NA
"MOR/CPR"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"MORCPR"	"703"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H1092"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"NCIH1092"	"155385"	"lung"	"carcinoma"	"small_cell_carcinoma"	"suspension"	"RPMI004"	"\"RPMI, 5% FBS, 0.005 mg/mL insulin, 0.01 mg/mL transferrin, 30 nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine\""	"SNP-matched-reference"	"ASCL1"	NA
"NCI-H1105"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"NCIH1105"	"155387"	"lung"	"carcinoma"	"small_cell_carcinoma"	"suspension"	"RPMI014"	"\"RPMI, 15% FBS\""	"SNP-matched-reference"	"ASCL1"	NA
"NCI-H1155"	"lung: large_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"NCIH1155"	"155388"	"lung"	"carcinoma"	"large_cell_carcinoma"	"adherent"	"DMEMF12003"	"\"DMEM:F12 (1:1), 10% FBS\""	"SNP-unconfirmed"	NA	NA
"NCI-H1184"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"NCIH1184"	"155390"	"lung"	"carcinoma"	"small_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	"ASCL1"	NA
"NCI-H1299"	"lung: non_small_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"NCIH1299"	"155395"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H1339"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"NCIH1339"	"155399"	"lung"	"carcinoma"	"small_cell_carcinoma"	"adherent"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	"YAP1"	NA
"NCI-H1341"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"NCIH1341"	"155400"	"lung"	"carcinoma"	"small_cell_carcinoma"	"adherent"	"RPMI005"	"\"RPMI, 5% FBS\""	"SNP-matched-reference"	"YAP1"	NA
"NCI-H1355"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1355"	"155401"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI005"	"\"RPMI, 5% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H1373"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1373"	"155402"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H1385"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"NCIH1385"	"155404"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H1395"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1395"	"127978"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H1435"	"lung: non_small_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"NCIH1435"	"155407"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H146"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"NCIH146"	"155292"	"lung"	"carcinoma"	"small_cell_carcinoma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	"ASCL1"	NA
"NCI-H1563"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1563"	"155421"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H1568"	"lung: non_small_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"NCIH1568"	"155422"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H1573"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1573"	"155424"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI005"	"\"RPMI, 5% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H1581"	"lung: large_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"NCIH1581"	"155425"	"lung"	"carcinoma"	"large_cell_carcinoma"	"adherent"	"DMEMF12003"	"\"DMEM:F12 (1:1), 10% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H1623"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1623"	"155431"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H1650"	"lung: bronchioloalveolar_adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1650"	"155434"	"lung"	"carcinoma"	"bronchioloalveolar_adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H1651"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1651"	"155435"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H1666"	"lung: bronchioloalveolar_adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1666"	"127983"	"lung"	"carcinoma"	"bronchioloalveolar_adenocarcinoma"	"adherent"	"RPMI005"	"\"RPMI, 5% FBS\""	"SNP-unconfirmed"	NA	NA
"NCI-H1693"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1693"	"155439"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI005"	"\"RPMI, 5% FBS\""	"SNP-unconfirmed"	NA	NA
"NCI-H1694"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"NCIH1694"	"155440"	"lung"	"carcinoma"	"small_cell_carcinoma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	"NEUROD1"	NA
"NCI-H1703"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1703"	"155441"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H1734"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1734"	"155445"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-not-tested"	NA	NA
"NCI-H1755"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1755"	"127984"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-not-tested"	NA	NA
"NCI-H1792"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1792"	"155450"	"lung"	"carcinoma"	"adenocarcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H1793"	"lung: non_small_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1793"	"155451"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"adherent"	"DMEMF12002"	"\"DMEM:F12 (1:1), 5% FBS, 0.005 mg/mL insulin, 0.01 mg/mL transferrin, 30 nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine\""	"SNP-matched-reference"	NA	NA
"NCI-H1838"	"lung: non_small_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"NCIH1838"	"155455"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-not-tested"	NA	NA
